STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MDPR,DAPR,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140302,-9999,-9999,66,-9999,-9999,178,94,122
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140303,-9999,-9999,0,-9999,-9999,217,94,156
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140304,-9999,-9999,0,-9999,-9999,211,89,161
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140305,-9999,-9999,0,-9999,-9999,239,94,189
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140306,-9999,-9999,0,-9999,-9999,239,100,178
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140307,-9999,-9999,0,-9999,-9999,222,122,189
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140308,-9999,-9999,0,-9999,-9999,306,128,239
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140309,-9999,-9999,0,-9999,-9999,311,133,244
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140310,-9999,-9999,0,-9999,-9999,289,117,239
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140311,-9999,-9999,0,-9999,-9999,250,144,211
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140312,-9999,-9999,0,-9999,-9999,283,139,211
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140313,-9999,-9999,0,-9999,-9999,233,111,172
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140314,-9999,-9999,0,-9999,-9999,250,94,211
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140315,-9999,-9999,0,-9999,-9999,311,100,233
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140316,-9999,-9999,0,-9999,-9999,339,122,261
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140317,-9999,-9999,0,-9999,-9999,261,106,222
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140318,-9999,-9999,0,-9999,-9999,256,161,183
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140319,-9999,-9999,0,-9999,-9999,267,183,222
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140320,-9999,-9999,0,-9999,-9999,261,89,189
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140321,-9999,-9999,0,-9999,-9999,222,89,194
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140322,-9999,-9999,0,-9999,-9999,233,94,200
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140323,-9999,-9999,0,-9999,-9999,239,89,200
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140324,-9999,-9999,0,-9999,-9999,211,117,183
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140325,-9999,-9999,0,-9999,-9999,200,117,150
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140326,-9999,-9999,0,-9999,-9999,206,111,156
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140327,-9999,-9999,0,-9999,-9999,206,122,167
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140328,-9999,-9999,0,-9999,-9999,233,89,200
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140329,-9999,-9999,0,-9999,-9999,244,100,206
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140330,-9999,-9999,0,-9999,-9999,256,106,206
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140331,-9999,-9999,0,-9999,-9999,222,78,189
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140401,-9999,-9999,25,-9999,-9999,206,89,156
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140402,-9999,-9999,33,-9999,-9999,183,67,144
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140403,-9999,-9999,0,-9999,-9999,222,50,183
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140404,-9999,-9999,0,-9999,-9999,206,83,167
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140405,-9999,-9999,0,-9999,-9999,256,89,194
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140406,-9999,-9999,0,-9999,-9999,300,94,200
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140407,-9999,-9999,0,-9999,-9999,311,111,283
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140408,-9999,-9999,0,-9999,-9999,356,167,306
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140409,-9999,-9999,0,-9999,-9999,328,122,278
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140410,-9999,-9999,0,-9999,-9999,294,144,233
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140411,-9999,-9999,0,-9999,-9999,289,183,233
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140412,-9999,-9999,0,-9999,-9999,256,111,189
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140413,-9999,-9999,0,-9999,-9999,250,106,139
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140414,-9999,-9999,0,-9999,-9999,283,94,256
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140415,-9999,-9999,0,-9999,-9999,278,100,244
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140416,-9999,-9999,0,-9999,-9999,261,111,217
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140417,-9999,-9999,0,-9999,-9999,239,117,183
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140418,-9999,-9999,0,-9999,-9999,239,133,217
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140419,-9999,-9999,0,-9999,-9999,261,111,200
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140420,-9999,-9999,0,-9999,-9999,278,106,128
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140421,-9999,-9999,0,-9999,-9999,283,122,250
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140422,-9999,-9999,0,-9999,-9999,272,133,200
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140423,-9999,-9999,0,-9999,-9999,244,144,211
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140424,-9999,-9999,0,-9999,-9999,278,128,233
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140425,-9999,-9999,0,-9999,-9999,256,106,161
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140426,-9999,-9999,66,-9999,-9999,233,89,167
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140427,-9999,-9999,0,-9999,-9999,228,89,167
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140428,-9999,-9999,0,-9999,-9999,283,111,261
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140429,-9999,-9999,0,-9999,-9999,333,111,306
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140430,-9999,-9999,0,-9999,-9999,328,133,294
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140501,-9999,-9999,0,-9999,-9999,356,167,322
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140502,-9999,-9999,0,-9999,-9999,372,317,339
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140503,-9999,-9999,0,-9999,-9999,350,156,350
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140504,-9999,-9999,0,-9999,-9999,350,128,217
GHCND:USC00044303,IRVINE RANCH CA US,164.6,33.72,-117.723,20140505,-9999,-9999,0,-9999,-9999,233,133,189
