DATE,2013-PRECIPITATION,2013-TMAX,2013-TMIN
GHCND:USC00044303|0717,0,333,117
GHCND:USC00044303|0718,0,322,122
GHCND:USC00044303|0719,0,289,128
GHCND:USC00044303|0720,0,267,150
GHCND:USC00044303|0721,0,244,139
GHCND:USC00044303|0722,0,311,150
GHCND:USC00044303|0723,0,300,117
GHCND:USC00044303|0724,0,306,139
GHCND:USC00044303|0725,0,300,139
GHCND:USC00044303|0726,0,306,156
GHCND:USC00044303|0727,0,294,144
GHCND:USC00044303|0728,0,289,133
GHCND:USC00044303|0729,0,283,139
GHCND:USC00044303|0730,0,283,122
GHCND:USC00044303|0731,0,267,111
GHCND:USC00044303|0801,0,283,133
GHCND:USC00044303|0802,0,289,133
GHCND:USC00044303|0803,0,283,133
GHCND:USC00044303|0804,0,294,117
GHCND:USC00044303|0805,0,294,128
GHCND:USC00044303|0806,0,283,133
GHCND:USC00044303|0807,0,283,122
GHCND:USC00044303|0808,0,289,106
GHCND:USC00044303|0809,0,283,111
GHCND:USC00044303|0810,0,278,128
GHCND:USC00044303|0811,0,294,133
GHCND:USC00044303|0812,0,294,111
GHCND:USC00044303|0813,0,306,133
GHCND:USC00044303|0814,0,300,139
GHCND:USC00044303|0815,0,322,122
GHCND:USC00044303|0816,0,322,139
GHCND:USC00044303|0817,0,356,133
GHCND:USC00044303|0818,0,344,128
GHCND:USC00044303|0819,0,306,150
GHCND:USC00044303|0820,0,317,139
GHCND:USC00044303|0821,0,333,128
GHCND:USC00044303|0822,0,350,133
GHCND:USC00044303|0823,0,339,128
GHCND:USC00044303|0824,0,378,250
GHCND:USC00044303|0825,0,344,133
GHCND:USC00044303|0826,0,378,156
GHCND:USC00044303|0827,0,344,222
GHCND:USC00044303|0828,0,356,161
GHCND:USC00044303|0829,0,372,167
GHCND:USC00044303|0830,0,367,211
GHCND:USC00044303|0831,0,350,167
GHCND:USC00044303|0901,0,344,156
GHCND:USC00044303|0902,0,344,161
GHCND:USC00044303|0903,0,361,178
GHCND:USC00044303|0904,0,372,178
GHCND:USC00044303|0905,0,372,172
GHCND:USC00044303|0906,0,389,178
GHCND:USC00044303|0907,0,378,156
GHCND:USC00044303|0908,0,328,139
GHCND:USC00044303|0909,0,306,139
GHCND:USC00044303|0910,0,289,144
GHCND:USC00044303|0911,0,278,139
GHCND:USC00044303|0912,0,317,150
GHCND:USC00044303|0913,0,328,156
GHCND:USC00044303|0914,0,322,161
GHCND:USC00044303|0915,0,356,167
GHCND:USC00044303|0916,0,344,167
GHCND:USC00044303|0917,0,311,144
GHCND:USC00044303|0918,0,278,139
GHCND:USC00044303|0919,0,289,139
GHCND:USC00044303|0920,0,261,133
GHCND:USC00044303|0921,0,256,167
GHCND:USC00044303|0922,0,261,133
GHCND:USC00044303|0923,0,356,139
GHCND:USC00044303|0924,0,328,156
GHCND:USC00044303|0925,0,300,150
GHCND:USC00044303|0926,0,261,156
GHCND:USC00044303|0927,0,311,128
GHCND:USC00044303|0928,0,328,139
GHCND:USC00044303|0929,0,333,144
GHCND:USC00044303|0930,0,306,106
GHCND:USC00044303|1001,0,300,122
GHCND:USC00044303|1002,0,272,111
GHCND:USC00044303|1003,0,267,133
GHCND:USC00044303|1004,0,311,156
GHCND:USC00044303|1005,0,361,161
GHCND:USC00044303|1006,0,356,156
GHCND:USC00044303|1007,0,311,161
GHCND:USC00044303|1008,0,272,117
GHCND:USC00044303|1009,30,200,106
GHCND:USC00044303|1010,0,222,100
GHCND:USC00044303|1011,0,261,94
GHCND:USC00044303|1012,0,250,106
GHCND:USC00044303|1013,0,244,100
GHCND:USC00044303|1014,0,311,89
GHCND:USC00044303|1015,0,322,144
GHCND:USC00044303|1016,0,328,156
GHCND:USC00044303|1017,0,306,144
GHCND:USC00044303|1018,0,306,167
GHCND:USC00044303|1019,0,311,161
GHCND:USC00044303|1020,0,306,172
GHCND:USC00044303|1021,0,306,167
GHCND:USC00044303|1022,0,261,167
GHCND:USC00044303|1023,0,228,144
GHCND:USC00044303|1024,0,233,167
GHCND:USC00044303|1025,0,256,161
GHCND:USC00044303|1026,0,250,150
GHCND:USC00044303|1027,0,244,144
GHCND:USC00044303|1028,0,194,128
GHCND:USC00044303|1029,61,211,144
GHCND:USC00044303|1030,0,233,122
GHCND:USC00044303|1031,0,278,161
GHCND:USC00044303|1101,0,317,172
GHCND:USC00044303|1102,0,289,139
GHCND:USC00044303|1103,0,267,133
GHCND:USC00044303|1104,0,250,144
GHCND:USC00044303|1105,0,250,144
GHCND:USC00044303|1106,0,289,139
GHCND:USC00044303|1107,0,306,144
GHCND:USC00044303|1108,0,289,144
GHCND:USC00044303|1109,0,294,128
GHCND:USC00044303|1110,0,267,122
GHCND:USC00044303|1111,0,267,100
GHCND:USC00044303|1112,0,239,100
GHCND:USC00044303|1113,0,344,133
GHCND:USC00044303|1114,0,339,189
GHCND:USC00044303|1115,0,294,122
GHCND:USC00044303|1116,0,256,106
GHCND:USC00044303|1117,0,233,100
GHCND:USC00044303|1118,0,217,89
GHCND:USC00044303|1119,0,206,56
GHCND:USC00044303|1120,0,211,61
GHCND:USC00044303|1121,89,172,89
GHCND:USC00044303|1122,23,156,100
GHCND:USC00044303|1123,0,161,89
GHCND:USC00044303|1124,0,156,83
GHCND:USC00044303|1125,0,228,89
GHCND:USC00044303|1126,0,256,89
GHCND:USC00044303|1127,0,250,106
GHCND:USC00044303|1128,0,250,100
GHCND:USC00044303|1129,33,211,94
GHCND:USC00044303|1130,0,222,89
GHCND:USC00044303|1201,0,283,150
GHCND:USC00044303|1202,0,250,150
GHCND:USC00044303|1203,0,200,128
GHCND:USC00044303|1204,0,194,94
GHCND:USC00044303|1205,0,178,83
GHCND:USC00044303|1206,0,167,89
GHCND:USC00044303|1207,127,150,78
GHCND:USC00044303|1208,0,144,67
GHCND:USC00044303|1209,0,156,72
GHCND:USC00044303|1210,0,206,61
GHCND:USC00044303|1211,0,222,67
GHCND:USC00044303|1212,0,217,72
GHCND:USC00044303|1213,0,200,61
GHCND:USC00044303|1214,0,294,106
GHCND:USC00044303|1215,0,300,100
GHCND:USC00044303|1216,0,311,117
GHCND:USC00044303|1217,0,267,117
GHCND:USC00044303|1218,0,239,139
GHCND:USC00044303|1219,122,167,72
GHCND:USC00044303|1220,0,189,150
GHCND:USC00044303|1221,0,206,128
GHCND:USC00044303|1222,0,217,50
GHCND:USC00044303|1223,0,267,94
GHCND:USC00044303|1224,0,267,89
GHCND:USC00044303|1225,0,272,100
GHCND:USC00044303|1226,0,278,150
GHCND:USC00044303|1227,0,289,122
GHCND:USC00044303|1228,0,261,89
GHCND:USC00044303|1229,0,267,94
GHCND:USC00044303|1230,0,261,94
GHCND:USC00044303|1231,0,233,78
GHCND:USC00046154|0101,0,117,-11
GHCND:USC00046154|0102,0,128,-28
GHCND:USC00046154|0103,0,189,-33
GHCND:USC00046154|0104,0,172,-33
GHCND:USC00046154|0105,0,150,-22
GHCND:USC00046154|0106,0,83,28
GHCND:USC00046154|0107,0,67,33
GHCND:USC00046154|0108,0,172,-17
GHCND:USC00046154|0109,0,211,17
GHCND:USC00046154|0110,0,72,11
GHCND:USC00046154|0111,0,56,-56
GHCND:USC00046154|0112,0,56,-50
GHCND:USC00046154|0113,0,61,-67
GHCND:USC00046154|0114,0,67,-67
GHCND:USC00046154|0115,0,128,-44
GHCND:USC00046154|0116,0,200,-44
GHCND:USC00046154|0117,0,194,11
GHCND:USC00046154|0118,0,217,-22
GHCND:USC00046154|0119,0,228,-33
GHCND:USC00046154|0120,0,222,-28
GHCND:USC00046154|0121,0,233,-33
GHCND:USC00046154|0122,0,228,-11
GHCND:USC00046154|0123,0,200,61
GHCND:USC00046154|0124,30,167,94
GHCND:USC00046154|0125,0,156,89
GHCND:USC00046154|0126,0,167,94
GHCND:USC00046154|0127,0,167,39
GHCND:USC00046154|0128,0,106,-11
GHCND:USC00046154|0129,0,128,-6
GHCND:USC00046154|0130,0,161,-17
GHCND:USC00046154|0131,0,228,22
GHCND:USC00046154|0201,0,228,28
GHCND:USC00046154|0202,0,194,50
GHCND:USC00046154|0203,0,200,33
GHCND:USC00046154|0204,0,200,28
GHCND:USC00046154|0205,0,211,28
GHCND:USC00046154|0206,0,161,33
GHCND:USC00046154|0207,0,161,-33
GHCND:USC00046154|0208,0,78,33
GHCND:USC00046154|0209,0,106,-28
GHCND:USC00046154|0210,0,128,-44
GHCND:USC00046154|0211,0,161,-39
GHCND:USC00046154|0212,0,161,-28
GHCND:USC00046154|0213,0,167,-17
GHCND:USC00046154|0214,0,211,6
GHCND:USC00046154|0215,0,239,0
GHCND:USC00046154|0216,0,228,33
GHCND:USC00046154|0217,0,189,17
GHCND:USC00046154|0218,0,183,33
GHCND:USC00046154|0219,0,128,22
GHCND:USC00046154|0220,0,78,-11
GHCND:USC00046154|0221,0,106,-44
GHCND:USC00046154|0222,0,144,-39
GHCND:USC00046154|0223,0,161,-11
GHCND:USC00046154|0224,0,161,-17
GHCND:USC00046154|0225,0,167,-44
GHCND:USC00046154|0226,0,161,-6
GHCND:USC00046154|0227,0,183,-28
GHCND:USC00046154|0228,0,167,11
GHCND:USC00046154|0301,0,222,28
GHCND:USC00046154|0302,0,256,22
GHCND:USC00046154|0303,0,172,100
GHCND:USC00046154|0304,0,183,33
GHCND:USC00046154|0305,0,172,22
GHCND:USC00046154|0306,0,133,-22
GHCND:USC00046154|0307,25,178,56
GHCND:USC00046154|0308,0,83,22
GHCND:USC00046154|0309,69,106,22
GHCND:USC00046154|0310,0,189,-6
GHCND:USC00046154|0311,0,222,-11
GHCND:USC00046154|0312,0,239,22
GHCND:USC00046154|0313,0,294,50
